,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,
Debug rom,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
boot_main,,,0063D0,80006830,,0063D0,80006830,,0063D0,80006830,,0068F0,80006D50,,6900,80006D60,9F0,68F0,80006D50,,69E0,80006E40,,6110,80006570,,6110,80006570,,6110,80006570,,6110,80006570,,6110,80006570,,,,,,,,6110,80006570,9F0,11F10,80012370,9F0,6110,80006570,,A750,8000ABA0,,,,
idle,,,,,,,,,,,,,,,72F0,80007750,C10,,,,,,,,,,,,,,,,,,,,,,,,,,,,6B00,80006F60,C10,12900,80012D60,C10,,,,,,,,,
z_std_dma,,,,,,,,,,,,,,,7F00,80008360,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710,80007B70,770,13510,80013970,770,,,,,,,,,
yaz0,,,,,,,,,,,,,,,8670,80008AD0,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,7E80,800082E0,410,13C80,800140E0,410,,,,,,,,,
z_locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8290,800086F0,20,14090,800144F0,20,,,,,,,,,
cic6105,,,,,,,,,,,,,,,8A80,80008EE0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_debug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140B0,80014510,10,,,,,,,,,
driverominit,,,,,,,,,,,,,,,8AA0,80008F00,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,82B0,80008710,80,140C0,80014520,80,,,,,,,,,
piacs,,,,,,,,,,,,,,,8B20,80008F80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,8330,80008790,20,14140,800145A0,20,,,,,,,,,
initialize,,,,,,,,,,,,,,,8B40,80008FA0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,8350,800087B0,10,14160,800145C0,10,,,,,,,,,
pimgr,,,,,,,,,,,,,,,8B50,80008FB0,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,8360,800087C0,1470,14170,800145D0,1470,,,,,,,,,
seteventmesg,,,,,,,,,,,,,,,9FC0,8000A420,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,97D0,80009C30,80,155E0,80015A40,80,,,,,,,,,
timerintr,,,,,,,,,,,,,,,A040,8000A4A0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,9850,80009CB0,40,15660,80015AC0,40,,,,,,,,,
cartrominit,,,,,,,,,,,,,,,A080,8000A4E0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,9890,80009CF0,80,156A0,80015B00,80,,,,,,,,,
vimgr,,,,,,,,,,,,,,,A100,8000A560,1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,9910,80009D70,1220,15720,80015B80,1220,,,,,,,,,
.end,,,,,,,,,,,,,,,B320,8000B780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB30,8000AF90,,16940,80016DA0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.end,,,,8000B140,,,8000B140,,,8000B140,,,8000B770,,,8000B780,,,8000B770,,,,,,8000AF90,,,8000AF90,,,8000AF90,,,8000AF90,,,8000AF90,,,,,,,,,8000AF90,,,,,,8000AF90,,12BF0,80013040,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
