,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_en_a_keep,,,0D6400,800E74A0,,0D6610,800E76B0,,0D67D0,800E7870,,0D3F20,800E5600,,0D6610,800E7CF0,A0,0D3F60,800E5640,,D47E0,800E5FC0,,0D5CE0,800E6BC0,,0D5CC0,800E6BA0,,0D5CC0,800E6BA0,A0,0D5CA0,800E6B80,,0D3620,800E4520,,0F85E0,80115440,,0F85E0,80115440,,0D3600,800E4500,A0,F85C0,80115420,A0,0D5CC0,800E6BA0,,0D6330,800EF2D0,,0D5C10,800EE650,,
z_en_item00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5D60,800E6C40,2A0,,,,,,,,,,,,,D36A0,800E45A0,2A0,F8660,801154C0,2A0,,,,,,,,,,
z_eff_blure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6000,800E6EE0,B0,,,,,,,,,,,,,D3940,800E4840,B0,F8900,80115760,B0,,,,,,,,,,
z_eff_shield_particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D60B0,800E6F90,50,,,,,,,,,,,,,D39F0,800E48F0,50,F89B0,80115810,50,,,,,,,,,,
z_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6100,800E6FE0,50,,,,,,,,,,,,,D3A40,800E4940,50,F8A00,80115860,50,,,,,,,,,,
z_effect_soft_sprite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6150,800E7030,10,,,,,,,,,,,,,D3A90,800E4990,10,F8A50,801158B0,10,,,,,,,,,,
z_effect_soft_sprite_old_init,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6160,800E7040,F0,,,,,,,,,,,,,D3AA0,800E49A0,F0,F8A60,801158C0,F0,,,,,,,,,,
z_effect_soft_sprite_dlftbls,,,,,,,,,,,,,,,0D6BA0,800E8280,410,,,,,,,,,,,,,D6250,800E7130,410,,,,,,,,,,,,,D3B90,800E4A90,410,F8B50,801159B0,410,,,,,,,,,,
flg_set,,,,,,,,,,,,,,,0D6FB0,800E8690,1C0,,,,,,,,,,,,,D6660,800E7540,1C0,,,,,,,,,,,,,D3FA0,800E4EA0,1C0,F8F60,80115DC0,1C0,,,,,,,,,,
