offset,vram,.text
0,80000460,boot_main
140,800005A0,idle
5B0,80000A10,viconfig
730,80000B90,z_std_dma
16D0,80001B30,yaz0
1A00,80001E60,z_locale
1B90,80001FF0,assert
1C10,80002070,[PADDING]
1C20,80002080,is_debug
1F70,800023D0,driverominit
2150,800025B0,mio0
2200,80002660,stackcheck
2590,800029F0,logutils
2A70,80002ED0,sprintf
2B40,80002FA0,piacs
2C00,80003060,sendmesg
2D50,800031B0,stopthread
2E10,80003270,viextendvstart
2E20,80003280,recvmesg
2F60,800033C0,initialize
32B0,80003710,ll
3570,800039D0,exceptasm
3EA0,80004300,thread
3EE0,80004340,destroythread
3FF0,80004450,bzero
4090,800044F0,parameters
40F0,80004550,createthread
4240,800046A0,setsr
4250,800046B0,getsr
4260,800046C0,writebackdcache
42E0,80004740,vigetnextframebuf
4320,80004780,pimgr
4490,800048F0,[PADDING]
44A0,80004900,devmgr
48B0,80004D10,pirawdma
4980,80004DE0,virtualtophysical
4A00,80004E60,viblack
4A70,80004ED0,sirawread
4AC0,80004F20,getthreadid
4AE0,80004F40,setintmask
4B80,80004FE0,visetmode
4BE0,80005040,probetlb
4CA0,80005100,getmemsize
4DC0,80005220,seteventmesg
4E80,800052E0,xprintf
5B60,80005FC0,unmaptlball
5BB0,80006010,epidma
5C50,800060B0,string
5CF0,80006150,invalicache
5D70,800061D0,createmesgqueue
5DA0,80006200,invaldcache
5E50,800062B0,si
5E80,800062E0,jammesg
5FD0,80006430,setthreadpri
60B0,80006510,getthreadpri
60D0,80006530,epirawread
6230,80006690,viswapbuf
6280,800066E0,epirawdma
6460,800068C0,bcmp
6580,800069E0,gettime
6610,80006A70,timerintr
6A40,80006EA0,getcount
6A50,80006EB0,setglobalintmask
6AA0,80006F00,setcompare
6AB0,80006F10,bcopy
6DC0,80007220,resetglobalintmask
6E20,80007280,interrupt
6EB0,80007310,vi
6FD0,80007430,viswapcontext
72D0,80007730,pigetcmdq
7300,80007760,epiread
7350,800077B0,visetspecial
74B0,80007910,cartrominit
7610,80007A70,setfpccsr
7620,80007A80,getfpccsr
7630,80007A90,epiwrite
7680,80007AE0,maptlbrdb
76E0,80007B40,yieldthread
7730,80007B90,getcause
7740,80007BA0,epirawwrite
78A0,80007D00,xlitob
7B40,80007FA0,ldiv
7CD0,80008130,xldtob
87E0,80008C40,sirawwrite
8830,80008C90,[PADDING]
8840,80008CA0,vimgr
8B50,80008FB0,vigetcurrcontext
8B60,80008FC0,startthread
8CB0,80009110,visetyscale
8D00,80009160,visetxscale
8E10,80009270,sethwintrroutine
8E80,800092E0,gethwintrroutine
8EB0,80009310,setwatchlo
8EC0,80009320,rsp_boot.text
8F90,800093F0,file_008F90
