offset,vram,.text
0,80010F00,z_en_a_keep
AA0,800119A0,z_en_item00
2EA0,80013DA0,z_eff_blure
62D0,800171D0,z_eff_shield_particle
7930,80018830,z_eff_spark
8FE0,80019EE0,z_eff_ss_dead
9790,8001A690,z_effect
9F10,8001AE10,z_effect_soft_sprite
A9B0,8001B8B0,z_effect_soft_sprite_old_init
D4D0,8001E3D0,flg_set
D8F0,8001E7F0,z_DLF
DB40,8001EA40,z_actor
1A0C0,8002AFC0,z_actor_dlftbls
1A210,8002B110,z_bgcheck
23DF0,80034CF0,code_800430A0
24110,80035010,code_80043480
244A0,800353A0,z_camera
38AD0,800499D0,z_collision_btltbls
38B30,80049A30,z_collision_check
407B0,800516B0,z_common_data
40830,80051730,z_debug
40B40,80051A40,z_debug_display
41000,80051F00,z_demo
45CE0,80056BE0,code_80069420
45D70,80056C70,z_draw
47C70,80058B70,z_sfx_source
47E30,80058D30,z_elf_message
48510,80059410,z_face_reaction
48560,80059460,code_8006C3A0
486E0,800595E0,z_fcurve_data
48920,80059820,z_fcurve_data_skelanime
49130,8005A030,z_horse
49E10,8005AD10,z_jpeg
4A5D0,8005B4D0,z_kaleido_setup
4A9A0,8005B8A0,z_kanfont
4AB70,8005BA70,z_kankyo
52380,80063280,z_lib
53520,80064420,z_lifemeter
548C0,800657C0,z_lights
55960,80066860,z_malloc
55B40,80066A40,z_map_mark
56140,80067040,z_prenmi_buff
56200,80067100,z_nulltask
56280,80067180,z_olib
56970,80067870,z_onepointdemo
5A910,8006B810,z_map_exp
5C4B0,8006D3B0,z_parameter
67BA0,80078AA0,z_path
67D70,80078C70,z_frame_advance
67E20,80078D20,z_player_lib
6B890,8007C790,z_prenmi
6BA30,8007C930,z_quake
6C8A0,8007D7A0,z_rcp
6E160,8007F060,z_room
6F950,80080850,z_sample
6FD50,80080C50,code_80097A00
6FF10,80080E10,z_scene
713C0,800822C0,z_scene_table
77BC0,80088AC0,z_skelanime
7C5B0,8008D4B0,z_skin
7D150,8008E050,z_skin_awb
7DA60,8008E960,z_skin_matrix
7EE00,8008FD00,z_sram
80240,80091140,z_ss_sram
80410,80091310,z_rumble
80690,80091590,z_view
81D90,80092C90,z_vimode
82900,80093800,z_viscvg
82AA0,800939A0,z_vismono
832C0,800941C0,z_viszbuf
83550,80094450,z_vr_box
85E20,80096D20,z_vr_box_draw
86500,80097400,z_player_call
86670,80097570,z_fbdemo
87090,80097F90,z_fbdemo_triforce
87650,80098550,z_fbdemo_wipe1
87AC0,800989C0,z_fbdemo_circle
88180,80099080,z_fbdemo_fade
884E0,800993E0,shrink_window
88650,80099550,code_800BB0A0
88B20,80099A20,z_kaleido_manager
88D50,80099C50,z_kaleido_scope_call
89030,80099F30,z_play
8CA90,8009D990,PreRender
8EB80,8009FA80,TwoHeadGfxArena
8ED90,8009FC90,TwoHeadArena
8EF50,8009FE50,audio_stop_all_sfx
8EFA0,8009FEA0,audio_thread_manager
8F3B0,800A02B0,title_setup
8F420,800A0320,game
8FBA0,800A0AA0,gamealloc
8FCE0,800A0BE0,graph
90680,800A1580,gfxalloc
906E0,800A15E0,listalloc
90830,800A1730,main
90B90,800A1A90,padmgr
91690,800A2590,[PADDING]
916A0,800A25A0,sched
92320,800A3220,speed_meter
92D60,800A3C60,sys_cfb
92E80,800A3D80,sys_math
93120,800A4020,sys_math3d
98EF0,800A9DF0,sys_math_atan
99120,800AA020,sys_matrix
9B520,800AC420,sys_ucode
9B570,800AC470,sys_rumble
9B8D0,800AC7D0,code_800D31A0
9B900,800AC800,irqmgr
9BF20,800ACE20,fault
9E770,800AF670,fault_drawer
9F1F0,800B00F0,kanread
9FCD0,800B0BD0,[PADDING]
9FCE0,800B0BE0,audio_lib_synthesis
A2E40,800B3D40,audio_lib_heap
A6210,800B7110,audio_lib_load
AA000,800BAF00,audio_lib_thread
AB860,800BC760,audio_lib_dcache
AB8E0,800BC7E0,audio_lib_aisetnextbuf
AB960,800BC860,audio_lib_playback
AD8E0,800BE7E0,audio_lib_effects
AE360,800BF260,audio_lib_seqplayer
B1980,800C2880,audio_general
B7B10,800C8A10,audio_sfx
B9970,800CA870,audio_sequence
BB590,800CC490,gfxprint
BC300,800CD200,rcp_utils
BC360,800CD260,loadfragment2
BC3C0,800CD2C0,relocation
BC600,800CD500,load
BC6D0,800CD5D0,code_800FC620
BCA10,800CD910,padutils
BCC00,800CDB00,padsetup
BCD40,800CDC40,code_800FCE80
BD250,800CE150,fp
BD3B0,800CE2B0,system_malloc
BD580,800CE480,rand
BD740,800CE640,__osMalloc
BE4F0,800CF3F0,sprintf
BE5C0,800CF4C0,printutils
BE620,800CF520,sleep
BE7C0,800CF6C0,jpegutils
BECD0,800CFBD0,jpegdecoder
BF2C0,800D01C0,scale
BF370,800D0270,sinf
BF530,800D0430,sins
BF5A0,800D04A0,sptask
BF860,800D0760,motor
BFC30,800D0B30,siacs
BFCF0,800D0BF0,controller
BFFD0,800D0ED0,contreaddata
C01B0,800D10B0,perspective
C0440,800D1340,sprawdma
C04D0,800D13D0,sirawdma
C0580,800D1480,sptaskyield
C05A0,800D14A0,mtxidentf
C05F0,800D14F0,lookat
C0910,800D1810,stoptimer
C0A00,800D1900,sqrtf
C0A10,800D1910,afterprenmi
C0A30,800D1930,contquery
C0AD0,800D19D0,lookathil
C1350,800D2250,xprintf
C2030,800D2F30,string
C20D0,800D2FD0,sp
C2100,800D3000,mtxident
C2150,800D3050,position
C2360,800D3260,sptaskyielded
C23C0,800D32C0,rotate
C2590,800D3490,aisetfreq
C26E0,800D35E0,getactivequeue
C2700,800D3600,normalize
C2760,800D3660,dpgetstat
C2770,800D3670,dpsetstat
C2780,800D3680,ortho
C2940,800D3840,cosf
C2AB0,800D39B0,coss
C2AE0,800D39E0,visetevent
C2B40,800D3A40,us2dex
C2CC0,800D3BC0,pfsselectbank
C2D40,800D3C40,contsetch
C2DA0,800D3CA0,aigetlen
C2DB0,800D3CB0,[PADDING]
C2DC0,800D3CC0,translate
C2E90,800D3D90,contramwrite
C30E0,800D3FE0,pfsgetstatus
C3310,800D4210,contpfs
C3E90,800D4D90,contramread
C40C0,800D4FC0,crc
C4230,800D5130,pfsisplug
C4520,800D5420,settimer
C46B0,800D55B0,xldtob
C51C0,800D60C0,ldiv
C5350,800D6250,xlitob
C55F0,800D64F0,spgetstat
C5600,800D6500,spsetstat
C5610,800D6510,writebackdcacheall
C5640,800D6540,getcurrfaultedthread
C5650,800D6550,[PADDING]
C5660,800D6560,mtxf2l
C56D0,800D65D0,llcvt
C58E0,800D67E0,vigetcurrframebuf
C5920,800D6820,spsetpc
C5950,800D6850,sqrt
C5960,800D6860,absf
C5970,800D6870,fmodf
C59C0,800D68C0,__osMemset
C59F0,800D68F0,__osMemmove
C5A80,800D6980,z_message_PAL
CE840,800DF740,z_game_over
CED80,800DFC80,z_construct
D02C0,800E11C0,rsp.text

offset,vram,.data
D3620,800E4520,z_en_a_keep
