offset,vram,.text
0,800110A0,z_en_a_keep.c
40A00,80051AA0,z_common_data.c
40AB0,80051B50,file_040AB0
48720,800597C0,z_face_reaction.c
48770,80059810,file_048770
8F670,800A0710,title_setup.c
8F6E0,800A0780,file_08F6E0
993E0,800AA480,sys_math_atan.c
99610,800AA6B0,sys_matrix.c
9E6F0,800AF790,code_800D71F0.s
9F1D0,800B0270,file_09F1D0
BE750,800CF7F0,sins.c
BE7C0,800CF860,file_0BE7C0
BFEE0,800D0F80,sqrtf
BFEF0,800D0F90,file_0BFEF0
C34B0,800D4550,bcmp
C4EF0,800D5F90,sqrt.c
C4F00,800D5FA0,code_801067F0.c
C4F50,800D5FF0,code_80106860.c
C4F80,800D6020,code_801068B0.c
C5010,800D60B0,z_message.c
D20E0,800E3180,rsp.s

offset,vram,.data
D67D0,800E7870,z_en_a_keep.c

offset,vram,.rodata
F4E80,80105F20,z_en_a_keep.c
