offset,vram,.text
0,800116E0,z_en_a_keep
AA0,80012180,z_en_item00
2E90,80014570,z_eff_blure
6310,800179F0,z_eff_shield_particle
7980,80019060,z_eff_spark
9040,8001A720,z_eff_ss_dead
97E0,8001AEC0,z_effect
9F60,8001B640,z_effect_soft_sprite
AA00,8001C0E0,z_effect_soft_sprite_old_init
D520,8001EC00,flg_set
D930,8001F010,z_DLF
DB80,8001F260,z_actor
1A0C0,8002B7A0,z_actor_dlftbls
1A2C0,8002B9A0,z_bgcheck
23EA0,80035580,code_800430A0
241C0,800358A0,code_80043480
24550,80035C30,z_camera.c
38D70,8004A450,z_collision_btltbls
38DD0,8004A4B0,z_collision_check
40A50,80052130,z_common_data
40B00,800521E0,z_debug
40E10,800524F0,z_debug_display
412C0,800529A0,z_demo
45FE0,800576C0,code_80069420
46070,80057750,z_draw
47ED0,800595B0,code_8006BA00
48090,80059770,z_elf_message
48770,80059E50,z_face_reaction
487C0,80059EA0,code_8006C3A0
48940,8005A020,z_fcurve_data
48B80,8005A260,z_fcurve_data_skelanime
49370,8005AA50,z_game_dlftbls
49370,8005AA50,z_horse
4A050,8005B730,z_jpeg
4A810,8005BEF0,z_kaleido_setup
4AC40,8005C320,z_kanfont
4AE50,8005C530,z_kankyo
52610,80063CF0,z_lib
537B0,80064E90,z_lifemeter
54B50,80066230,z_lights
55BF0,800672D0,z_malloc
55DD0,800674B0,z_map_mark
56420,80067B00,z_prenmi_buff
564E0,80067BC0,z_nulltask
56560,80067C40,z_olib
56C50,80068330,z_onepointdemo
5ABF0,8006C2D0,z_map_exp
5C860,8006DF40,z_parameter
67F30,80079610,z_path
68100,800797E0,z_frame_advance
681B0,80079890,z_player_lib
6BBE0,8007D2C0,z_prenmi
6BD80,8007D460,z_quake
6CBF0,8007E2D0,z_rcp
6E4F0,8007FBD0,z_room
6FC80,80081360,z_sample
70080,80081760,code_80097A00
70240,80081920,z_scene
716F0,80082DD0,z_scene_table
77D60,80089440,z_skelanime
7C6E0,8008DDC0,z_skin
7D280,8008E960,z_skin_awb
7DB90,8008F270,z_skin_matrix
7EF30,80090610,z_sram
80270,80091950,z_ss_sram
80440,80091B20,z_rumble
806E0,80091DC0,z_view
81E10,800934F0,z_vimode
82980,80094060,code_800ACE70
82B20,80094200,z_vismono
83380,80094A60,code_800AD920
83670,80094D50,z_vr_box
85F60,80097640,z_vr_box_draw
86660,80097D40,z_player_call
867D0,80097EB0,z_fbdemo
871F0,800988D0,z_fbdemo_triforce
877A0,80098E80,z_fbdemo_wipe1
87C10,800992F0,z_fbdemo_circle
882D0,800999B0,z_fbdemo_fade
88630,80099D10,shrink_window
887A0,80099E80,code_800BB0A0
88C70,8009A350,z_kaleido_manager
88EA0,8009A580,z_kaleido_scope_call
89180,8009A860,z_play
8CCB0,8009E390,PreRender
8EED0,800A05B0,TwoHeadGfxArena
8F0E0,800A07C0,TwoHeadArena
8F2A0,800A0980,code_800C3C20
8F2F0,800A09D0,audioMgr
8F710,800A0DF0,title_setup
8F780,800A0E60,game
8FFC0,800A16A0,gamealloc
90100,800A17E0,graph
