offset,vram,.text
0,80010F00,z_en_a_keep
AA0,800119A0,z_en_item00
2EA0,80013DA0,z_eff_blure
62D0,800171D0,z_eff_shield_particle
7930,80018830,z_eff_spark
8FE0,80019EE0,z_eff_ss_dead
9790,8001A690,z_effect
9F10,8001AE10,z_effect_soft_sprite
A9B0,8001B8B0,z_effect_soft_sprite_old_init
D4D0,8001E3D0,flg_set
D8F0,8001E7F0,z_DLF
DB40,8001EA40,z_actor
1A0C0,8002AFC0,z_actor_dlftbls
1A210,8002B110,z_bgcheck
23DF0,80034CF0,code_800430A0
24110,80035010,code_80043480
244A0,800353A0,z_camera
38AD0,800499D0,z_collision_btltbls
38B30,80049A30,z_collision_check
407B0,800516B0,z_common_data
40830,80051730,z_debug
40B40,80051A40,z_debug_display
41000,80051F00,z_demo
45CE0,80056BE0,code_80069420
45D70,80056C70,z_draw
47C70,80058B70,z_sfx_source
47E30,80058D30,z_elf_message
48510,80059410,z_face_reaction
48560,80059460,code_8006C3A0
486E0,800595E0,z_fcurve_data
48920,80059820,z_fcurve_data_skelanime
49130,8005A030,z_game_dlftbls
49130,8005A030,z_horse
49E10,8005AD10,z_jpeg
4A5D0,8005B4D0,z_kaleido_setup
4A9A0,8005B8A0,z_kanfont
4AB70,8005BA70,z_kankyo
52380,80063280,z_lib
53520,80064420,z_lifemeter
548C0,800657C0,z_lights
55960,80066860,z_malloc
55B40,80066A40,z_map_mark
56140,80067040,z_prenmi_buff
56200,80067100,z_nulltask
56280,80067180,z_olib
56970,80067870,z_onepointdemo
5A910,8006B810,z_map_exp
5C4B0,8006D3B0,z_parameter
67BA0,80078AA0,z_path
67D70,80078C70,z_frame_advance
67E20,80078D20,z_player_lib
6B890,8007C790,z_prenmi
6BA30,8007C930,z_quake
6C8A0,8007D7A0,z_rcp
6E160,8007F060,z_room
6F950,80080850,z_sample
6FD50,80080C50,code_80097A00
6FF10,80080E10,z_scene
713C0,800822C0,z_scene_table
77BA0,80088AA0,z_skelanime
7C590,8008D490,z_skin
7D130,8008E030,z_skin_awb
7DA40,8008E940,z_skin_matrix
7EDE0,8008FCE0,z_sram
80220,80091120,z_ss_sram
803F0,800912F0,z_rumble
80670,80091570,z_view
81D70,80092C70,z_vimode
828E0,800937E0,z_viscvg
82A80,80093980,z_vismono
832A0,800941A0,z_viszbuf
83530,80094430,z_vr_box
85E00,80096D00,z_vr_box_draw
864E0,800973E0,z_player_call
86650,80097550,z_fbdemo
87070,80097F70,z_fbdemo_triforce
87630,80098530,z_fbdemo_wipe1
87AA0,800989A0,z_fbdemo_circle
88160,80099060,z_fbdemo_fade
884C0,800993C0,shrink_window
88630,80099530,code_800BB0A0
88B00,80099A00,z_kaleido_manager
88D30,80099C30,z_kaleido_scope_call
89010,80099F10,z_play
8CA70,8009D970,PreRender
8EB60,8009FA60,TwoHeadGfxArena
8ED70,8009FC70,TwoHeadArena
8EF30,8009FE30,audio_stop_all_sfx
8EF80,8009FE80,audio_thread_manager
8F390,800A0290,title_setup
8F400,800A0300,game
8FB80,800A0A80,gamealloc
8FCC0,800A0BC0,graph
906C0,800A15C0,listalloc
90810,800A1710,main
90B70,800A1A70,padmgr
91670,800A2570,[PADDING]
91680,800A2580,sched
92300,800A3200,speed_meter
92D40,800A3C40,sys_cfb
92E60,800A3D60,sys_math
93100,800A4000,sys_math3d
98ED0,800A9DD0,sys_math_atan
99100,800AA000,sys_matrix
9B500,800AC400,sys_ucode
9B550,800AC450,sys_rumble
9B8B0,800AC7B0,code_800D31A0
9B8E0,800AC7E0,irqmgr
9BF00,800ACE00,fault
9E750,800AF650,fault_drawer
9F1D0,800B00D0,kanread
9FCB0,800B0BB0,[PADDING]
9FCC0,800B0BC0,audio_synthesis
A2E20,800B3D20,audio_heap
A61F0,800B70F0,audio_load
A9FE0,800BAEE0,audio_thread
AB840,800BC740,audio_dcache
AB8C0,800BC7C0,audio_aisetnextbuf
AB940,800BC840,audio_playback
AD8C0,800BE7C0,audio_effects
AE340,800BF240,audio_seqplayer
B1960,800C2860,audio_general
B7AF0,800C89F0,audio_sfx
B9950,800CA850,audio_sequence
BB570,800CC470,gfxprint
BC2E0,800CD1E0,rcp_utils
BC340,800CD240,loadfragment2
BC3A0,800CD2A0,relocation
BC5E0,800CD4E0,load
BC6B0,800CD5B0,code_800FC620
BC9F0,800CD8F0,padutils
BCBE0,800CDAE0,padsetup
BCD20,800CDC20,code_800FCE80
BD230,800CE130,fp
BD390,800CE290,system_malloc
BD560,800CE460,code_800FD970
BD720,800CE620,__osMalloc
BE4D0,800CF3D0,sprintf
BE5A0,800CF4A0,printutils
BE600,800CF500,sleep
BE7A0,800CF6A0,jpegutils
BECB0,800CFBB0,jpegdecoder
BF2A0,800D01A0,scale
BF350,800D0250,sinf
BF510,800D0410,sins
BF580,800D0480,sptask
BF840,800D0740,motor
BFC10,800D0B10,siacs
BFCD0,800D0BD0,controller
BFFB0,800D0EB0,contreaddata
C0190,800D1090,perspective
C0420,800D1320,sprawdma
C04B0,800D13B0,sirawdma
C0560,800D1460,sptaskyield
C0580,800D1480,mtxidentf
C05D0,800D14D0,lookat
C08F0,800D17F0,stoptimer
C09E0,800D18E0,sqrtf
C09F0,800D18F0,afterprenmi
C0A10,800D1910,contquery
C0AB0,800D19B0,lookathil
C1330,800D2230,xprintf
C2010,800D2F10,string
C20B0,800D2FB0,sp
C20E0,800D2FE0,mtxident
C2130,800D3030,position
C2340,800D3240,sptaskyielded
C23A0,800D32A0,rotate
C2570,800D3470,aisetfreq
C26C0,800D35C0,getactivequeue
C26E0,800D35E0,normalize
C2740,800D3640,dpgetstat
C2750,800D3650,dpsetstat
C2760,800D3660,ortho
C2920,800D3820,cosf
C2A90,800D3990,coss
C2AC0,800D39C0,visetevent
C2B20,800D3A20,us2dex
C2CA0,800D3BA0,pfsselectbank
C2D20,800D3C20,contsetch
C2D80,800D3C80,aigetlen
C2D90,800D3C90,[PADDING]
C2DA0,800D3CA0,translate
C2E70,800D3D70,contramwrite
C30C0,800D3FC0,pfsgetstatus
C32F0,800D41F0,contpfs
C3E70,800D4D70,contramread
C40A0,800D4FA0,crc
C4210,800D5110,pfsisplug
C4500,800D5400,settimer
C4690,800D5590,xldtob
C51A0,800D60A0,ldiv
C5330,800D6230,xlitob
C55D0,800D64D0,spgetstat
C55E0,800D64E0,spsetstat
C55F0,800D64F0,writebackdcacheall
C5620,800D6520,getcurrfaultedthread
C5630,800D6530,[PADDING]
C5640,800D6540,mtxf2l
C56B0,800D65B0,llcvt
C58C0,800D67C0,vigetcurrframebuf
C5900,800D6800,spsetpc
C5930,800D6830,sqrt
C5940,800D6840,absf
C5950,800D6850,fmodf
C59A0,800D68A0,__osMemset
C59D0,800D68D0,__osMemmove
C5A60,800D6960,z_message_PAL
CE820,800DF720,z_game_over
CED60,800DFC60,z_construct
D02A0,800E11A0,rsp.text

offset,vram,.data
D3600,800E4500,z_en_a_keep

offset,vram,.rodata
F18A0,801027A0,z_en_a_keep
