80000400,entrypoint
80000460,cleararena
80000498,bootproc
800005A0,Main_ThreadEntry
8000063C,Idle_ThreadEntry
80000830,ViConfig_UpdateVi
80000930,ViConfig_UpdateBlack
80000980,DmaMgr_DmaRomToRam
80000B04,DmaMgr_AudioDmaHandler
80000B24,DmaMgr_DmaFromDriveRom
80000BC8,DmaMgr_FindFileName
80000BD8,DmaMgr_GetFileName
80000BEC,DmaMgr_ProcessRequest
80000D78,DmaMgr_ThreadEntry
80000DF8,DmaMgr_SendRequest
80000E5C,DmaMgr_RequestSync
80000ED8,DmaMgr_Init
80000FC0,Yaz0_FirstDMA
80001060,Yaz0_NextDMA
8000114C,Yaz0_DecompressImpl
800012B4,Yaz0_Decompress
80001300,Locale_Init
800013AC,Locale_ResetRegion
800013C0,osSyncPrintfUnused
800013DC,osSyncPrintf
800013F8,rmonPrintf
80001420,osDriveRomInit
80001600,Mio0_Decompress
800016B0,StackCheck_Init
80001788,StackCheck_Cleanup
800017F8,StackCheck_GetState
80001870,StackCheck_CheckAll
800018C8,StackCheck_Check
80001900,LogUtils_HungupThread
80001934,LogUtils_ResetHungup
80001960,__osPiCreateAccessQueue
800019B0,__osPiGetAccess
800019F4,__osPiRelAccess
80001A20,osSendMesg
80001B70,osStopThread
80001C30,osViExtendVStart
80001C40,osRecvMesg
80001D80,__createSpeedParam
80001E1C,__osInitialize_common
800020C8,__osInitialize_autodetect
800020D0,__ull_rshift
800020FC,__ull_rem
80002138,__ull_div
80002174,__ll_lshift
800021A0,__ll_rem
800021DC,__ll_div
80002238,__ll_mul
80002268,__ull_divremi
800022C8,__ll_mod
80002364,__ll_rshift
80002390,__osExceptionPreamble
800023A0,__osException
800029D4,__osEnqueueAndYield
80002AD4,__osEnqueueThread
80002B1C,__osPopThread
80002B2C,__osNop
80002B34,__osDispatchThread
80002CB0,__osCleanupThread
80002CC0,__osDequeueThread
80002D00,osDestroyThread
80002E10,bzero
80002F10,osCreateThread
80003060,__osSetSR
80003070,__osGetSR
80003080,osWritebackDCache
80003100,osViGetNextFramebuffer
80003140,osCreatePiManager
800032C0,__osDevMgrMain
800036D0,__osPiRawStartDma
800037A0,osVirtualToPhysical
80003820,osViBlack
80003890,__osSiRawReadIo
800038E0,osGetThreadId
80003900,osSetIntMask
800039A0,osViSetMode
80003A00,__osProbeTLB
80003AC0,osGetMemSize
80003BE0,osSetEventMesg
80003CA0,osUnmapTLBAll
80003CF0,osEPiStartDma
80003D90,osInvalICache
80003E10,osCreateMesgQueue
80003E40,osInvalDCache
80003EF0,__osSiDeviceBusy
80003F20,osJamMesg
80004070,osSetThreadPri
80004150,osGetThreadPri
80004170,__osEPiRawReadIo
800042D0,osViSwapBuffer
80004320,__osEPiRawStartDma
80004500,bcmp
80004620,osGetTime
800046B0,__osTimerServicesInit
8000473C,__osTimerInterrupt
800048B4,__osSetTimerIntr
80004954,__osInsertTimer
80004AE0,osGetCount
80004AF0,__osSetGlobalIntMask
80004B40,__osSetCompare
80004B50,bcopy
80004E60,__osResetGlobalIntMask
80004EC0,__osDisableInt
80004F30,__osRestoreInt
80004F50,__osViInit
80005070,__osViSwapContext
80005370,osPiGetCmdQueue
800053A0,osEPiReadIo
800053F0,osViSetSpecialFeatures
80005550,osCartRomInit
800056B0,__osSetFpcCsr
800056C0,__osGetFpcCsr
800056D0,osMapTLBRdb
80005730,osYieldThread
80005780,__osGetCause
80005790,__osEPiRawWriteIo
800058F0,__osSiRawWriteIo
80005940,osCreateViManager
80005AC0,viMgrMain
80005C50,__osViGetCurrentContext
80005C60,osStartThread
80005DB0,osViSetYScale
80005E00,osViSetXScale
80005F10,__osSetHWIntrRoutine
80005F80,__osGetHWIntrRoutine
80005FB0,__osSetWatchLo
80005FC0,rspbootTextStart
80010F00,EnAObj_SetupAction
80010F0C,EnAObj_Init
8001124C,EnAObj_Destroy
800112A8,EnAObj_WaitFinishedTalking
800112D8,EnAObj_SetupWaitTalk
80011300,EnAObj_WaitTalk
800113B4,EnAObj_SetupBlockRot
80011404,EnAObj_BlockRot
80011524,EnAObj_SetupBoulderFragment
8001154C,EnAObj_BoulderFragment
8001166C,EnAObj_SetupBlock
800116AC,EnAObj_Block
80011794,EnAObj_Update
800118B0,EnAObj_Draw
800119A0,EnItem00_SetupAction
800119AC,EnItem00_Init
80012014,EnItem00_Destroy
80012040,func_8001DFC8
80012240,func_8001E1C8
8001237C,func_8001E304
80012640,EnItem00_Collected
80012798,EnItem00_Update
80012E18,EnItem00_Draw
80012FB0,EnItem00_DrawRupee
800130C8,EnItem00_DrawCollectible
80013208,EnItem00_DrawHeartContainer
80013300,EnItem00_DrawHeartPiece
80013398,func_8001F404
800134E0,Item_DropCollectible
80013718,Item_DropCollectible2
800138EC,Item_DropCollectibleRandom
80013DA0,EffectBlure_AddVertex
800140C4,EffectBlure_AddSpace
80014108,EffectBlure_InitElements
800141C0,EffectBlure_Init1
800142D0,EffectBlure_Init2
80014404,EffectBlure_Destroy
80014410,EffectBlure_Update
80014874,EffectBlure_UpdateFlags
800149E4,EffectBlure_GetComputedValues
80014EF8,EffectBlure_SetupSmooth
80014F2C,EffectBlure_DrawElemNoInterpolation
80015400,EffectBlure_DrawElemHermiteInterpolation
80015D8C,EffectBlure_DrawSmooth
8001605C,EffectBlure_SetupSimple
80016094,EffectBlure_SetupSimpleAlt
800162FC,EffectBlure_DrawSimpleVertices
800167DC,EffectBlure_DrawSimple
80016CE8,EffectBlure_Draw
800171D0,EffectShieldParticle_Init
80017408,EffectShieldParticle_Destroy
80017494,EffectShieldParticle_Update
800175F8,EffectShieldParticle_GetColors
80018318,EffectShieldParticle_Draw
80018830,EffectSpark_Init
80018C0C,EffectSpark_Destroy
80018C18,EffectSpark_Update
80018CDC,EffectSpark_Draw
80019EE0,func_80026230
8001A088,func_80026400
8001A26C,func_80026608
8001A2B0,func_80026690
8001A458,func_80026860
8001A644,func_80026A6C
8001A690,Effect_GetPlayState
8001A6A0,Effect_GetByIndex
8001A7B0,Effect_InitStatus
8001A7C4,Effect_InitContext
8001A86C,Effect_Add
8001A9EC,Effect_DrawAll
8001AAE8,Effect_UpdateAll
8001AC14,Effect_Delete
8001AD20,Effect_DeleteAll
8001AE10,EffectSs_InitInfo
8001AEF4,EffectSs_ClearAll
8001AFB4,EffectSs_Delete
8001B014,EffectSs_Reset
8001B0A8,EffectSs_FindSlot
8001B1E0,EffectSs_Insert
8001B278,EffectSs_Spawn
8001B420,EffectSs_Update
8001B4C0,EffectSs_UpdateAll
8001B57C,EffectSs_Draw
8001B5C0,EffectSs_DrawAll
8001B70C,EffectSs_LerpInv
8001B770,EffectSs_LerpS16
8001B7C4,EffectSs_LerpU8
8001B8B0,EffectSs_DrawGEffect
8001BAEC,EffectSsDust_Spawn
8001BBA0,func_8002829C
8001BC08,func_80028304
8001BC70,func_8002836C
8001BCD8,func_800283D4
8001BD40,func_8002843C
8001BDA8,func_800284A4
8001BE14,func_80028510
8001BE80,func_8002857C
8001BEF0,func_800285EC
8001BF60,func_8002865C
8001BFD0,func_800286CC
8001C040,func_8002873C
8001C0B0,func_800287AC
8001C120,func_8002881C
8001C15C,func_80028858
8001C198,func_80028894
8001C294,func_80028990
8001C358,func_80028A54
8001C41C,EffectSsKiraKira_SpawnSmallYellow
8001C478,EffectSsKiraKira_SpawnSmall
8001C4B4,EffectSsKiraKira_SpawnDispersed
8001C5F0,EffectSsKiraKira_SpawnFocused
8001C6C8,EffectSsBomb_Spawn
8001C720,EffectSsBomb2_SpawnFade
8001C788,EffectSsBomb2_SpawnLayered
8001C7F8,EffectSsBlast_Spawn
8001C888,EffectSsBlast_SpawnWhiteShockwaveSetScale
8001C8DC,EffectSsBlast_SpawnShockwaveSetColor
8001C928,EffectSsBlast_SpawnWhiteShockwave
8001C964,EffectSsGSpk_SpawnAccel
8001C9F4,EffectSsGSpk_SpawnNoAccel
8001CA88,EffectSsGSpk_SpawnFuse
8001CADC,EffectSsGSpk_SpawnRandColor
8001CBE0,EffectSsGSpk_SpawnSmall
8001CC24,EffectSsDFire_Spawn
8001CCA4,EffectSsDFire_SpawnFixedScale
8001CCE8,EffectSsBubble_Spawn
8001CD48,EffectSsGRipple_Spawn
8001CDA0,EffectSsGSplash_Spawn
8001CE34,EffectSsGMagma_Spawn
8001CE6C,EffectSsGFire_Spawn
8001CEA4,EffectSsLightning_Spawn
8001CF1C,EffectSsDtBubble_SpawnColorProfile
8001CF98,EffectSsDtBubble_SpawnCustomColor
8001D028,EffectSsHahen_Spawn
8001D0A8,EffectSsHahen_SpawnBurst
8001D1F0,EffectSsStick_Spawn
8001D244,EffectSsSibuki_Spawn
8001D2B4,EffectSsSibuki_SpawnBurst
8001D438,EffectSsSibuki2_Spawn
8001D498,EffectSsGMagma2_Spawn
8001D508,EffectSsStone1_Spawn
8001D55C,EffectSsHitMark_Spawn
8001D5B4,EffectSsHitMark_SpawnFixedScale
8001D5D8,EffectSsHitMark_SpawnCustomScale
8001D604,EffectSsFhgFlash_SpawnLightBall
8001D670,EffectSsFhgFlash_SpawnShock
8001D6D4,EffectSsKFire_Spawn
8001D73C,EffectSsSolderSrchBall_Spawn
8001D7A4,EffectSsKakera_Spawn
8001D85C,EffectSsIcePiece_Spawn
8001D8C4,EffectSsIcePiece_SpawnBurst
8001DA58,EffectSsEnIce_SpawnFlyingVec3f
8001DAF8,EffectSsEnIce_SpawnFlyingVec3s
8001DBC4,EffectSsEnIce_Spawn
8001DC4C,EffectSsFireTail_Spawn
8001DCE4,EffectSsFireTail_SpawnFlame
8001DDA8,EffectSsFireTail_SpawnFlameOnPlayer
8001DDF8,EffectSsEnFire_SpawnVec3f
8001DE70,EffectSsEnFire_SpawnVec3s
8001DF1C,EffectSsExtra_Spawn
8001DF84,EffectSsFCircle_Spawn
8001DFE0,EffectSsDeadDb_Spawn
8001E098,EffectSsDeadDd_Spawn
8001E14C,EffectSsDeadDd_SpawnRandYellow
8001E1BC,EffectSsDeadDs_Spawn
8001E234,EffectSsDeadDs_SpawnStationary
8001E284,EffectSsDeadSound_Spawn
8001E31C,EffectSsDeadSound_SpawnStationary
8001E36C,EffectSsIceSmoke_Spawn
8001E3D0,FlagSet_Update
8001E7F0,Overlay_LoadGameState
8001E918,Overlay_FreeGameState
8001EA40,ActorShape_Init
8001EA64,ActorShadow_Draw
8001EE44,ActorShadow_DrawCircle
8001EE6C,ActorShadow_DrawWhiteCircle
8001EE9C,ActorShadow_DrawHorse
8001EEC4,ActorShadow_DrawFoot
8001F0D0,ActorShadow_DrawFeet
8001F59C,Actor_SetFeetPos
8001F5F0,Actor_ProjectPos
8001F654,func_8002BE64
8001F68C,func_8002BE98
8001F754,Actor_SetNaviToActor
8001F8B8,func_8002C0C0
8001F91C,func_8002C124
8001FF54,func_8002C7BC
800202E8,Flags_GetSwitch
8002031C,Flags_SetSwitch
8002035C,Flags_UnsetSwitch
800203A0,Flags_GetUnknown
800203D4,Flags_SetUnknown
80020414,Flags_UnsetUnknown
80020458,Flags_GetTreasure
80020470,Flags_SetTreasure
8002048C,Flags_GetClear
800204A4,Flags_SetClear
800204C0,Flags_UnsetClear
800204E0,Flags_GetTempClear
800204F8,Flags_SetTempClear
80020514,Flags_UnsetTempClear
80020534,Flags_GetCollectible
80020568,Flags_SetCollectible
800205AC,TitleCard_Init
800205CC,TitleCard_InitBossName
80020610,TitleCard_InitPlaceName
800206AC,TitleCard_Update
80020768,TitleCard_Draw
80020CA0,TitleCard_Clear
80020CD4,Actor_Kill
80020CF4,Actor_SetWorldToHome
80020D24,Actor_SetFocus
80020D68,Actor_SetWorldRotToShape
80020D88,Actor_SetShapeRotToWorld
80020DA8,Actor_SetScale
80020DC4,Actor_SetObjectDependency
80020DFC,Actor_Init
80020F10,Actor_Destroy
80020F44,Actor_UpdatePos
80020FC4,Actor_UpdateVelocityXZGravity
8002103C,Actor_MoveXZGravity
80021068,Actor_UpdateVelocityXYZ
800210D8,Actor_MoveXYZ
80021104,Actor_SetProjectileSpeed
80021158,Actor_UpdatePosByAnimation
800211D4,Actor_WorldYawTowardActor
80021200,Actor_FocusYawTowardActor
8002122C,Actor_WorldYawTowardPoint
80021250,Actor_WorldPitchTowardActor
8002127C,Actor_FocusPitchTowardActor
800212A8,Actor_WorldPitchTowardPoint
800212CC,Actor_WorldDistXYZToActor
800212F8,Actor_WorldDistXYZToPoint
8002131C,Actor_WorldDistXZToActor
80021348,Actor_WorldDistXZToPoint
8002136C,func_8002DBD0
8002140C,Actor_HeightDiff
80021420,Player_GetHeight
80021480,func_8002DCE4
80021508,func_8002DD6C
80021518,func_8002DD78
8002154C,func_8002DDA8
80021588,func_8002DDE4
8002159C,func_8002DDF4
800215B0,func_8002DE04
80021620,func_8002DE74
80021678,Actor_MountHorse
8002169C,func_8002DEEC
800216C8,func_8002DF18
800216E8,Player_SetCsAction
8002170C,Player_SetCsActionWithHaltedActors
80021748,func_8002DF90
80021760,func_8002DFA4
80021788,Player_IsFacingActor
800217E0,Actor_ActorBIsFacingActorA
80021848,Actor_IsFacingPlayer
80021894,Actor_ActorAIsFacingActorB
800218F4,Actor_IsFacingAndNearPlayer
80021974,Actor_ActorAIsFacingAndNearActorB
80021A08,func_8002E234
80021A80,func_8002E2AC
80021C8C,Actor_UpdateBgCheckInfo
8002200C,func_8002E830
