offset,vram,.text
0,800A6120,z_en_a_keep
240,800A6360,z_en_item00
2730,800A8850,z_eff_blure
5B10,800ABC30,z_eff_shield_particle
7130,800AD250,z_eff_spark
87E0,800AE900,z_eff_ss_dead
8E70,800AEF90,z_eff_tire_mark
9C50,800AFD70,z_effect
A590,800B06B0,z_effect_soft_sprite
B050,800B1170,z_effect_soft_sprite_old_init
D810,800B3930,flg_set
DDC0,800B3EE0,z_DLF
E010,800B4130,z_actor
19EE0,800C0000,z_actor_dlftbls
1A0C0,800C01E0,z_bgcheck
25010,800CB130,z_bg_collect
25350,800CB470,z_bg_item
25540,800CB660,code_800CB000
25750,800CB870,z_camera
3A8E0,800E0A00,z_collision_btltbls
3A940,800E0A60,file_03A940
3A950,800E0A70,z_collision_check
433E0,800E9500,code_800E8EA0
438A0,800E99C0,z_common_data
43920,800E9A40,z_debug
439B0,800E9AD0,z_debug_display
441D0,800EA2F0,z_debug_mode
445A0,800EA6C0,z_demo
48860,800EE980,z_draw
4A3A0,800F04C0,z_eff_footmark
4A8D0,800F09F0,code_800F0390
4AB00,800F0C20,z_elf_message
4AD00,800F0E20,code_800F07C0
4B790,800F18B0,z_face_reaction
4B810,800F1930,z_env_flags
4B9A0,800F1AC0,z_eventmgr
4C920,800F2A40,z_fcurve_data
4CB60,800F2C80,z_fcurve_data_skelanime
4D270,800F3390,z_fireobj
4DE80,800F3FA0,z_horse
4E7E0,800F4900,z_jpeg
4EF50,800F5070,z_kaleido_setup
4F480,800F55A0,z_kanfont
4F5D0,800F56F0,z_kankyo
591D0,800FF2F0,z_lib
5AB00,80100C20,z_lifemeter
5BEE0,80102000,z_lights
5D1A0,801032C0,z_malloc
5D380,801034A0,z_map_disp
639E0,80109B00,z_map_data
64540,8010A660,z_map_exp
64CB0,8010ADD0,z_msgevent
66610,8010C730,z_nmi_buff
66700,8010C820,code_8010C1B0
66780,8010C8A0,z_olib
670C0,8010D1E0,file_0670C0
670D0,8010D1F0,z_parameter
7C8D0,801229F0,z_path
7CA50,80122B70,z_pause
7CAD0,80122BF0,z_player_lib
842E0,8012A400,z_prenmi
84470,8012A590,z_quake
86040,8012C160,z_rcp
878F0,8012DA10,z_room
89060,8012F180,code_8012EC80
896B0,8012F7D0,z_scene
8AB90,80130CB0,z_scene_proc
8C690,801327B0,z_scene_table
8C7A0,801328C0,code_801323D0
8D4B0,801335D0,z_skelanime
91D40,80137E60,z_skin
927E0,80138900,z_skin_awb
92F70,80139090,z_skin_matrix
94610,8013A730,z_snap
94B90,8013ACB0,z_sub_s
98FE0,8013F100,code_8013EC10
99230,8013F350,z_view
9A630,80140750,z_vimode
9B250,80141370,code_80140E80
9BC80,80141DA0,z_vismono
9C490,801425B0,code_801420C0
9C810,80142930,z_vr_box
9D970,80143A90,z_vr_box_draw
9DDE0,80143F00,z_sram_NES
A0E00,80146F20,z_message
B2020,80158140,z_message_nes
B7F30,8015E050,z_message_staff
BA270,80160390,z_player_call
BA3E0,80160500,z_shrink_window
BA960,80160A80,db_camera
BCEE0,80163000,z_kaleido_manager
BD180,801632A0,z_kaleido_scope_call
BD470,80163590,z_fbdemo_dlftbls
BD5A0,801636C0,z_fbdemo
BDFB0,801640D0,z_fbdemo_fade
BE2D0,801643F0,z_fbdemo_circle
BE990,80164AB0,z_overlay
BEC40,80164D60,z_play
C43D0,8016A4F0,z_play_hireso
C94B0,8016F5D0,PreRender
CBFB0,801720D0,TwoHeadGfxArena
CC1C0,801722E0,TwoHeadArena
CC380,801724A0,code_80172BC0
CC3F0,80172510,audioMgr
CC8F0,80172A10,title_setup
CCB20,80172C40,game
CD3B0,801734D0,gamealloc
CD4F0,80173610,graph
CE200,80174320,graphalloc
CE260,80174380,listalloc
CE3B0,801744D0,main
CE6D0,801747F0,padmgr
CFA40,80175B60,sched
D0AF0,80176C10,speed_meter
D1EB0,80177FD0,sys_cmpdma
D2690,801787B0,sys_initial_check
D2A60,80178B80,sys_math
D2D50,80178E70,sys_math3d
D9610,8017F730,sys_math_atan
D98C0,8017F9E0,sys_matrix
DC3F0,80182510,sys_ucode
DC440,80182560,code_80182CE0
DC7D0,801828F0,code_80183070
DC800,80182920,c_keyframe
DEDC0,80184EE0,sys_slowly
DEF20,80185040,sys_flashrom
DF6F0,80185810,code_80185F90
E01D0,801862F0,osFlash
E0F00,80187020,file_0E0F00
E0F10,80187030,audio_synthesis
E4830,8018A950,audio_heap
E82A0,8018E3C0,audio_load
EC320,80192440,code_80192BE0
EDE50,80193F70,code_80194710
EE070,80194190,audio_playback
F0140,80196260,audio_effects
F0C10,80196D30,audio_seqplayer
F4580,8019A6A0,code_8019AE40
F45F0,8019A710,file_0F45F0
F4600,8019A720,code_8019AEC0
F4640,8019A760,code_8019AF00
FE930,801A4A50,code_801A51F0
FF300,801A5420,pad
FF310,801A5430,code_801A5BD0
101250,801A7370,code_801A7B10
103760,801A9880,code_801AA020
103D50,801A9E70,z_game_over
1041E0,801AA300,z_construct
1041F0,801AA310,file_1041F0

offset,vram,.data
1041F0,801AA310,rsp

offset,vram,.rodata
1354E0,801DB600,z_en_item00

offset,vram,.bss
13D690,801E37B0,code_801E3FA0
6D9EE0,80780000,.end
